accl,yawrate
0,-0.0097561
0,-0.02912851
0,-0.04808175
0,-0.06633764
0,-0.08362059
0,-0.09966028
0,-0.11419546
0,-0.12697907
0,-0.13778462
0,-0.14641314
0,-0.1527004
0,-0.15652354
0,-0.15780652
0,-0.15652354
0,-0.1527004
0,-0.14641314
0,-0.13778462
0,-0.12697907
0,-0.11419546
0,-0.09966028
0,-0.08362059
0,-0.06633764
0,-0.04808175
0,-0.02912851
0,-0.0097561
0,0.0097561
0,0.02912851
0,0.04808175
0,0.06633764
0,0.08362059
0,0.09966028
0,0.11419546
0,0.12697907
0,0.13778462
0,0.14641314
0,0.1527004
0,0.15652354
0,0.15780652
0,0.15652354
0,0.1527004
0,0.14641314
0,0.13778462
0,0.12697907
0,0.11419546
0,0.09966028
0,0.08362059
0,0.06633764
0,0.04808175
0,0.02912851
0,0.0097561
0,0.025001687
